dateday,season,year,month,hour,holiday,weekday,workingday,weather_condition,temp,hum,casual,registered,count,temp_group,count_group
2011-01-01,Spring,0,Jan,0,0,Sat,0,Clear/Partly Cloudy,0.24,0.81,3,13,16,Dingin,Sedang
2011-01-01,Spring,0,Jan,1,0,Sat,0,Clear/Partly Cloudy,0.22,0.8,8,32,40,Dingin,Sangat Tinggi
2011-01-01,Spring,0,Jan,2,0,Sat,0,Clear/Partly Cloudy,0.22,0.8,5,27,32,Dingin,Sangat Tinggi
2011-01-01,Spring,0,Jan,3,0,Sat,0,Clear/Partly Cloudy,0.24,0.75,3,10,13,Dingin,Sedang
2011-01-01,Spring,0,Jan,4,0,Sat,0,Clear/Partly Cloudy,0.24,0.75,0,1,1,Dingin,Rendah
2011-01-01,Spring,0,Jan,5,0,Sat,0,Misty/Cloudy,0.24,0.75,0,1,1,Dingin,Rendah
2011-01-01,Spring,0,Jan,6,0,Sat,0,Clear/Partly Cloudy,0.22,0.8,2,0,2,Dingin,Rendah
2011-01-01,Spring,0,Jan,7,0,Sat,0,Clear/Partly Cloudy,0.2,0.86,1,2,3,Dingin,Rendah
2011-01-01,Spring,0,Jan,8,0,Sat,0,Clear/Partly Cloudy,0.24,0.75,1,7,8,Dingin,Rendah
2011-01-01,Spring,0,Jan,9,0,Sat,0,Clear/Partly Cloudy,0.32,0.76,8,6,14,Sedang,Sedang
2011-01-01,Spring,0,Jan,10,0,Sat,0,Clear/Partly Cloudy,0.38,0.76,12,24,36,Sedang,Sangat Tinggi
2011-01-01,Spring,0,Jan,11,0,Sat,0,Clear/Partly Cloudy,0.36,0.81,26,30,56,Sedang,Sangat Tinggi
2011-01-01,Spring,0,Jan,12,0,Sat,0,Clear/Partly Cloudy,0.42,0.77,29,55,84,Sedang,Sangat Tinggi
2011-01-01,Spring,0,Jan,13,0,Sat,0,Misty/Cloudy,0.46,0.72,47,47,94,Sedang,Sangat Tinggi
2011-01-01,Spring,0,Jan,14,0,Sat,0,Misty/Cloudy,0.46,0.72,35,71,106,Sedang,
2011-01-01,Spring,0,Jan,15,0,Sat,0,Misty/Cloudy,0.44,0.77,40,70,110,Sedang,
2011-01-01,Spring,0,Jan,16,0,Sat,0,Misty/Cloudy,0.42,0.82,41,52,93,Sedang,Sangat Tinggi
2011-01-01,Spring,0,Jan,17,0,Sat,0,Misty/Cloudy,0.44,0.82,15,52,67,Sedang,Sangat Tinggi
2011-01-01,Spring,0,Jan,18,0,Sat,0,Light Snow/Rain,0.42,0.88,9,26,35,Sedang,Sangat Tinggi
2011-01-01,Spring,0,Jan,19,0,Sat,0,Light Snow/Rain,0.42,0.88,6,31,37,Sedang,Sangat Tinggi
2011-01-01,Spring,0,Jan,20,0,Sat,0,Misty/Cloudy,0.4,0.87,11,25,36,Sedang,Sangat Tinggi
2011-01-01,Spring,0,Jan,21,0,Sat,0,Misty/Cloudy,0.4,0.87,3,31,34,Sedang,Sangat Tinggi
2011-01-01,Spring,0,Jan,22,0,Sat,0,Misty/Cloudy,0.4,0.94,11,17,28,Sedang,Tinggi
2011-01-01,Spring,0,Jan,23,0,Sat,0,Misty/Cloudy,0.46,0.88,15,24,39,Sedang,Sangat Tinggi
2011-01-02,Spring,0,Jan,0,0,Sun,0,Misty/Cloudy,0.46,0.88,4,13,17,Sedang,Sedang
2011-01-02,Spring,0,Jan,1,0,Sun,0,Misty/Cloudy,0.44,0.94,1,16,17,Sedang,Sedang
2011-01-02,Spring,0,Jan,2,0,Sun,0,Misty/Cloudy,0.42,1.0,1,8,9,Sedang,Rendah
2011-01-02,Spring,0,Jan,3,0,Sun,0,Misty/Cloudy,0.46,0.94,2,4,6,Sedang,Rendah
2011-01-02,Spring,0,Jan,4,0,Sun,0,Misty/Cloudy,0.46,0.94,2,1,3,Sedang,Rendah
2011-01-02,Spring,0,Jan,6,0,Sun,0,Light Snow/Rain,0.42,0.77,0,2,2,Sedang,Rendah
2011-01-02,Spring,0,Jan,7,0,Sun,0,Misty/Cloudy,0.4,0.76,0,1,1,Sedang,Rendah
2011-01-02,Spring,0,Jan,8,0,Sun,0,Light Snow/Rain,0.4,0.71,0,8,8,Sedang,Rendah
2011-01-02,Spring,0,Jan,9,0,Sun,0,Misty/Cloudy,0.38,0.76,1,19,20,Sedang,Sedang
2011-01-02,Spring,0,Jan,10,0,Sun,0,Misty/Cloudy,0.36,0.81,7,46,53,Sedang,Sangat Tinggi
2011-01-02,Spring,0,Jan,11,0,Sun,0,Misty/Cloudy,0.36,0.71,16,54,70,Sedang,Sangat Tinggi
2011-01-02,Spring,0,Jan,12,0,Sun,0,Misty/Cloudy,0.36,0.66,20,73,93,Sedang,Sangat Tinggi
2011-01-02,Spring,0,Jan,13,0,Sun,0,Misty/Cloudy,0.36,0.66,11,64,75,Sedang,Sangat Tinggi
2011-01-02,Spring,0,Jan,14,0,Sun,0,Light Snow/Rain,0.36,0.76,4,55,59,Sedang,Sangat Tinggi
2011-01-02,Spring,0,Jan,15,0,Sun,0,Light Snow/Rain,0.34,0.81,19,55,74,Sedang,Sangat Tinggi
2011-01-02,Spring,0,Jan,16,0,Sun,0,Light Snow/Rain,0.34,0.71,9,67,76,Sedang,Sangat Tinggi
2011-01-02,Spring,0,Jan,17,0,Sun,0,Clear/Partly Cloudy,0.34,0.57,7,58,65,Sedang,Sangat Tinggi
2011-01-02,Spring,0,Jan,18,0,Sun,0,Misty/Cloudy,0.36,0.46,10,43,53,Sedang,Sangat Tinggi
2011-01-02,Spring,0,Jan,19,0,Sun,0,Clear/Partly Cloudy,0.32,0.42,1,29,30,Sedang,Tinggi
2011-01-02,Spring,0,Jan,20,0,Sun,0,Clear/Partly Cloudy,0.3,0.39,5,17,22,Dingin,Tinggi
2011-01-02,Spring,0,Jan,21,0,Sun,0,Clear/Partly Cloudy,0.26,0.44,11,20,31,Dingin,Sangat Tinggi
2011-01-02,Spring,0,Jan,22,0,Sun,0,Clear/Partly Cloudy,0.24,0.44,0,9,9,Dingin,Rendah
2011-01-02,Spring,0,Jan,23,0,Sun,0,Clear/Partly Cloudy,0.22,0.47,0,8,8,Dingin,Rendah
2011-01-03,Spring,0,Jan,0,0,Mon,1,Clear/Partly Cloudy,0.22,0.44,0,5,5,Dingin,Rendah
2011-01-03,Spring,0,Jan,1,0,Mon,1,Clear/Partly Cloudy,0.2,0.44,0,2,2,Dingin,Rendah
2011-01-03,Spring,0,Jan,4,0,Mon,1,Clear/Partly Cloudy,0.16,0.47,0,1,1,Dingin,Rendah
2011-01-03,Spring,0,Jan,5,0,Mon,1,Clear/Partly Cloudy,0.16,0.47,0,3,3,Dingin,Rendah
2011-01-03,Spring,0,Jan,6,0,Mon,1,Clear/Partly Cloudy,0.14,0.5,0,30,30,Dingin,Tinggi
2011-01-03,Spring,0,Jan,7,0,Mon,1,Clear/Partly Cloudy,0.14,0.5,1,63,64,Dingin,Sangat Tinggi
